epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,630.623,1.18547,2.04137,1.13582,0.33619,0.13796,0.12981,0.04991,2.42611,2.6601,2.11246,0.000656085,0.000656085,0.000656085
2,1280.47,0.94619,0.83302,1.01537,0.20144,0.21306,0.11961,0.0446,2.56017,2.49313,2.13908,0.00127037,0.00127037,0.00127037
3,1864.8,0.8986,0.74131,0.98807,0.28855,0.20224,0.15941,0.05931,2.52212,2.48499,1.93227,0.00183186,0.00183186,0.00183186
4,2528.2,0.87101,0.70019,0.97596,0.13248,0.14185,0.06717,0.025,2.68833,2.65991,2.04366,0.0017624,0.0017624,0.0017624
5,3201.29,0.83558,0.64754,0.95744,0.16443,0.05479,0.0405,0.0171,3.17921,3.57713,2.52714,0.0016832,0.0016832,0.0016832
6,3867.52,0.81989,0.62018,0.95165,0.1993,0.23853,0.13397,0.05352,2.39784,2.37352,1.90596,0.001604,0.001604,0.001604
7,4550.6,0.7919,0.59828,0.93885,0.18258,0.23284,0.12402,0.05129,2.2887,2.34861,1.79993,0.0015248,0.0015248,0.0015248
8,5217.04,0.77803,0.57457,0.93467,0.2394,0.18296,0.14118,0.05659,2.31938,2.69867,1.82755,0.0014456,0.0014456,0.0014456
9,5932.52,0.76128,0.5494,0.92858,0.086,0.1368,0.05759,0.02241,2.58426,2.81732,1.98576,0.0013664,0.0013664,0.0013664
10,6647.52,0.75702,0.54633,0.92594,0.16391,0.20865,0.11016,0.04457,2.37731,2.51922,1.85547,0.0012872,0.0012872,0.0012872
11,7374.48,0.74403,0.53002,0.92279,0.14545,0.16684,0.0816,0.03132,2.55329,3.06441,1.98374,0.001208,0.001208,0.001208
12,8118.5,0.74108,0.51885,0.91961,0.20567,0.19696,0.12856,0.0499,2.51259,2.49697,1.95489,0.0011288,0.0011288,0.0011288
13,8887.91,0.72647,0.49806,0.91326,0.08008,0.41714,0.09566,0.03934,2.32578,2.99733,1.87512,0.0010496,0.0010496,0.0010496
14,9672.06,0.73415,0.49383,0.9124,0.21937,0.10901,0.10609,0.04349,2.39739,2.90667,1.87044,0.0009704,0.0009704,0.0009704
15,10484.5,0.70855,0.48386,0.90832,0.03654,0.26344,0.02795,0.01136,2.53685,3.1895,1.93602,0.0008912,0.0008912,0.0008912
16,11272.5,0.65729,0.47332,0.89378,0.24861,0.13576,0.11753,0.04559,2.51611,2.73307,1.97271,0.000812,0.000812,0.000812
17,11877.1,0.64502,0.43937,0.8848,0.35605,0.17157,0.17672,0.07426,2.36105,2.66874,1.9284,0.0007328,0.0007328,0.0007328
18,12334.4,0.64309,0.43036,0.88859,0.07474,0.53881,0.119,0.04803,2.32321,3.15715,1.84143,0.0006536,0.0006536,0.0006536
19,12789.1,0.63592,0.42476,0.8824,0.06218,0.44317,0.07637,0.03054,2.45493,3.31538,1.93251,0.0005744,0.0005744,0.0005744
20,13245.9,0.62052,0.40625,0.88036,0.22264,0.15082,0.11353,0.04453,2.5471,2.8587,1.97073,0.0004952,0.0004952,0.0004952
21,13702.7,0.61226,0.39925,0.87928,0.30837,0.1292,0.1324,0.05389,2.46302,3.10434,1.95467,0.000416,0.000416,0.000416
22,14159.1,0.61522,0.39747,0.87796,0.07342,0.52271,0.12429,0.05,2.36225,3.2758,1.83218,0.0003368,0.0003368,0.0003368
23,14617,0.59971,0.38669,0.87624,0.06766,0.48763,0.0871,0.03423,2.44117,2.97382,1.81689,0.0002576,0.0002576,0.0002576
24,15072.5,0.59652,0.38353,0.87044,0.06589,0.46384,0.08853,0.03581,2.43605,3.28662,1.87629,0.0001784,0.0001784,0.0001784
25,15528.3,0.59056,0.37336,0.87123,0.06887,0.49547,0.09044,0.0359,2.43471,3.16144,1.84484,9.92e-05,9.92e-05,9.92e-05
