iter	RMSE
0	2.624614092
1	2.550465884
2	2.479369162
3	2.426559711
4	2.371289418
5	2.309971509
6	2.253004909
7	2.200623834
8	2.157809697
9	2.109567273
10	2.075291837
11	2.033926415
12	1.999327839
13	1.962675374
14	1.936504767
15	1.907613419
16	1.876902098
17	1.851993013
18	1.827517817
19	1.806103395
20	1.783969276
21	1.762090482
22	1.74312169
23	1.724974634
24	1.707805892
25	1.695091956
26	1.680440686
27	1.665200409
28	1.652461747
29	1.639892586
30	1.630323841
31	1.61988324
32	1.611833879
33	1.602043342
34	1.594630185
35	1.585493931
36	1.575873296
37	1.568180533
38	1.56148674
39	1.553444344
40	1.545993286
41	1.539035531
42	1.535112513
43	1.530189686
44	1.52511459
45	1.519778712
46	1.515760984
47	1.510206783
48	1.50536957
49	1.500590155
50	1.493872982
51	1.488741015
52	1.484830623
53	1.481553626
54	1.476109865
55	1.471310098
56	1.468903729
57	1.464263864
58	1.460836663
59	1.456238617
60	1.451529659
61	1.448873762
62	1.445632505
63	1.441800585
64	1.439086778
65	1.435070333
66	1.433004826
67	1.429561401
68	1.427456311
69	1.42401463
70	1.421394284
71	1.419080646
72	1.416198696
73	1.410532721
74	1.407983231
75	1.405291373
76	1.401903813
77	1.398390761
78	1.394459023
79	1.391526633
80	1.388291701
81	1.3870879
82	1.383830751
83	1.382381973
84	1.381004502
85	1.37878467
86	1.377293328
87	1.375350355
88	1.372097244
89	1.37082559
90	1.367500332
91	1.365318375
92	1.362540814
93	1.358445318
94	1.35683753
95	1.353636424
96	1.350901277
97	1.347858741
98	1.344714147
99	1.342796912
100	1.33993605
101	1.338878896
102	1.335882845
103	1.331163697
104	1.329200576
105	1.326766649
106	1.325441431
107	1.320792564
108	1.318270874
109	1.315855376
110	1.313645434
111	1.312317309
112	1.308627505
113	1.30581936
114	1.304088702
115	1.302442954
116	1.299977698
117	1.298108387
118	1.295000874
119	1.293336199
120	1.29149988
121	1.289697755
122	1.286416189
123	1.284973211
124	1.282772938
125	1.282076013
126	1.278316669
127	1.275323541
128	1.274183087
129	1.272439361
130	1.270026613
131	1.267407783
132	1.264552176
133	1.261919846
134	1.258621547
135	1.257825564
136	1.257326554
137	1.255704334
138	1.251680957
139	1.248601507
140	1.24648647
141	1.239808725
142	1.233487083
143	1.230209983
144	1.22741018
145	1.22497955
146	1.223704795
147	1.220793916
148	1.217679817
149	1.2156847
150	1.211213573
151	1.208618473
152	1.205962216
153	1.202742041
154	1.200803758
155	1.196542699
156	1.192839131
157	1.190798108
158	1.188960132
159	1.186387511
160	1.182070325
161	1.179757099
162	1.176638803
163	1.175811063
164	1.172513975
165	1.167302657
166	1.165212809
167	1.163278396
168	1.160721331
169	1.15878529
170	1.156923466
171	1.153442978
172	1.152817775
173	1.150726785
174	1.148975052
175	1.146153965
176	1.143463323
177	1.14241274
178	1.141658679
179	1.139067584
180	1.136045896
181	1.133828083
182	1.132841691
183	1.130860969
184	1.128709503
185	1.124422842
186	1.121198739
187	1.118921096
188	1.117077299
189	1.114941615
190	1.112982201
191	1.110393687
192	1.107369002
193	1.104739425
194	1.102131465
195	1.100058159
196	1.097561146
197	1.091690029
198	1.087668582
199	1.085187281
200	1.084363679
201	1.081392084
202	1.078340289
203	1.074592936
204	1.072433978
205	1.069246675
206	1.066459759
207	1.063947827
208	1.062784976
209	1.060998201
210	1.059586459
211	1.058034534
212	1.056326164
213	1.054559666
214	1.051650671
215	1.05026538
216	1.049831723
217	1.0478297
218	1.047069724
219	1.044211223
220	1.042893258
221	1.040150168
222	1.036257445
223	1.034483987
224	1.033618772
225	1.031825712
226	1.030397749
227	1.028599429
228	1.025626962
229	1.023913502
230	1.022546349
231	1.019862584
232	1.01801793
233	1.017256609
234	1.014586878
235	1.011525702
236	1.007322792
237	1.005526636
238	1.003722258
239	1.001296013
240	0.9988864322
241	0.9971629599
242	0.9959829262
243	0.9940334976
244	0.9925428882
245	0.9896852582
246	0.9867024693
247	0.9856067475
248	0.9832785621
249	0.9811767698
250	0.9794279178
251	0.9778538846
252	0.9747421719
253	0.9720819658
254	0.9704199739
255	0.9680008139
256	0.9655226067
257	0.9632573479
258	0.9625974704
259	0.9609678947
260	0.9596787809
261	0.9591561619
262	0.9589710544
263	0.957832162
264	0.9563686669
265	0.9549411768
266	0.9533365155
267	0.9523179711
268	0.9509612248
269	0.9488145973
270	0.9471418828
271	0.9444906067
272	0.9432109919
273	0.942026057
274	0.9408669871
275	0.9392623511
276	0.9359690005
277	0.934786549
278	0.9331410432
279	0.9314203751
280	0.9307709665
281	0.9297751065
282	0.927430901
283	0.9268341628
284	0.9266452253
285	0.9253743764
286	0.9236304868
287	0.9213180043
288	0.9199567312
289	0.9197942992
290	0.9180718056
291	0.9165978573
292	0.9136931456
293	0.9117172628
294	0.9108275299
295	0.909403013
296	0.9067280956
297	0.9046160444
298	0.902374217
299	0.9007073375
300	0.8992304979
301	0.8965986777
302	0.8956693135
303	0.8941351501
304	0.893951928
305	0.8922751189
306	0.8905412592
307	0.888884652
308	0.8871408949
