iter	Passed	Remaining
0	0	337
1	0	313
2	0	296
3	1	322
4	1	288
5	1	278
6	1	276
7	2	273
8	3	368
9	3	350
10	4	439
11	5	434
12	5	412
13	5	391
14	5	381
15	6	378
16	6	373
17	6	368
18	7	366
19	7	361
20	7	356
21	8	358
22	8	355
23	8	350
24	8	348
25	9	372
26	10	367
27	10	364
28	10	365
29	11	363
30	11	359
31	11	355
32	12	352
33	12	349
34	12	345
35	12	342
36	13	340
37	13	337
38	13	336
39	13	333
40	14	333
41	14	333
42	14	331
43	15	332
44	15	331
45	16	332
46	16	331
47	16	329
48	16	329
49	17	327
50	17	325
51	17	323
52	18	322
53	18	321
54	18	320
55	18	319
56	19	317
57	19	316
58	19	314
59	19	313
60	20	311
61	20	310
62	20	309
63	21	307
64	21	306
65	21	305
66	21	304
67	22	303
68	22	302
69	22	302
70	23	301
71	23	300
72	23	299
73	23	298
74	24	297
75	24	296
76	24	295
77	24	295
78	25	293
79	25	293
80	25	292
81	26	291
82	26	290
83	26	289
84	26	288
85	27	287
86	27	286
87	27	285
88	27	284
89	28	283
90	28	284
91	28	284
92	29	283
93	29	283
94	29	283
95	30	283
96	30	282
97	30	282
98	30	281
99	31	281
100	31	280
101	31	280
102	32	279
103	32	279
104	32	278
105	32	277
106	33	276
107	33	275
108	33	275
109	33	274
110	34	274
111	34	273
112	34	273
113	35	272
114	35	271
115	35	271
116	35	270
117	36	270
118	36	269
119	36	268
120	36	268
121	37	267
122	37	267
123	37	266
124	37	265
125	38	265
126	38	265
127	38	265
128	39	264
129	39	264
130	39	263
131	40	263
132	40	262
133	40	262
134	40	261
135	41	261
136	41	260
137	41	260
138	41	259
139	42	259
140	42	258
141	42	258
142	43	259
143	44	263
144	44	262
145	44	262
146	45	262
147	45	261
148	45	260
149	45	260
150	46	259
151	46	259
152	46	258
153	47	258
154	47	258
155	47	257
156	47	257
157	48	256
158	48	256
159	48	256
160	49	255
161	49	255
162	49	255
163	49	254
164	50	254
165	50	253
166	50	253
167	51	252
168	51	252
169	51	251
170	51	251
171	52	250
172	52	250
173	52	250
174	52	249
175	53	249
176	53	248
177	53	248
178	54	247
179	54	247
180	54	246
181	54	246
182	55	246
183	55	245
184	55	245
185	55	244
186	56	244
187	56	243
188	56	243
189	57	243
190	57	242
191	57	242
192	57	242
193	58	241
194	58	241
195	58	240
196	58	240
197	59	240
198	59	239
199	59	239
200	60	238
201	60	238
202	60	238
203	60	237
204	61	237
205	61	236
206	61	236
207	61	235
208	62	235
209	62	235
210	62	234
211	63	234
212	63	234
213	63	233
214	63	233
215	64	232
216	64	232
217	64	231
218	64	231
219	65	230
220	65	230
221	65	230
222	65	229
223	66	229
224	66	228
225	66	228
226	66	228
227	67	227
228	67	227
229	67	227
230	68	226
231	68	226
232	68	225
233	68	225
234	69	225
235	69	225
236	69	225
237	70	224
238	70	224
239	70	224
240	71	223
241	71	223
242	71	222
243	71	222
244	72	222
245	72	221
246	72	221
247	72	221
248	73	221
249	73	220
250	73	220
251	74	220
252	74	219
253	74	219
254	75	219
255	75	218
256	75	218
257	75	218
258	76	217
259	76	217
260	76	217
261	76	216
262	77	216
263	77	216
264	77	215
265	78	215
266	78	215
267	78	214
268	78	214
269	79	214
270	79	213
271	79	213
272	80	213
273	80	213
274	80	212
275	81	212
276	81	212
277	81	211
278	81	211
279	82	211
280	82	211
281	82	211
282	83	210
283	83	210
284	83	210
285	84	209
286	84	209
287	84	209
288	84	208
289	85	208
290	85	208
291	85	207
292	85	207
293	86	206
294	86	206
295	86	206
296	86	205
297	87	205
298	87	204
299	87	204
300	87	204
301	88	204
302	88	203
303	88	203
304	89	203
305	89	202
306	89	202
307	89	201
308	90	202
309	90	202
310	91	201
311	91	201
312	91	201
313	91	200
314	92	200
315	93	202
316	93	201
317	93	201
318	94	201
319	94	200
320	94	200
321	95	200
322	95	199
323	95	199
324	95	199
325	96	198
326	96	198
327	96	198
328	96	197
329	97	198
330	98	198
331	98	197
332	98	197
333	98	197
334	99	196
335	99	196
336	99	196
337	99	195
338	100	195
339	100	195
340	100	195
341	101	196
342	102	195
343	102	195
344	102	195
345	102	194
346	103	194
347	103	194
348	103	193
349	104	193
350	104	192
351	104	192
352	104	192
353	105	192
354	105	191
355	105	191
356	106	190
357	106	190
358	106	190
359	107	190
360	107	190
361	107	189
362	107	189
363	108	189
364	108	188
365	108	188
366	109	188
367	109	187
368	109	187
369	109	186
370	110	187
371	110	187
372	111	186
373	111	186
374	111	186
375	111	185
376	112	185
377	112	185
378	112	184
379	113	184
380	113	184
381	113	183
382	113	183
383	114	183
384	114	182
385	114	182
386	114	182
387	115	181
388	115	181
389	115	181
390	116	180
391	116	180
392	116	179
393	116	179
394	117	179
395	117	178
396	117	178
397	117	178
398	118	177
399	118	177
400	118	177
401	118	176
402	119	176
403	119	176
404	119	175
405	120	175
406	120	175
407	120	174
408	120	174
409	121	174
410	121	173
411	121	173
412	122	174
413	122	173
414	123	173
415	123	173
416	123	172
417	123	172
418	124	172
419	124	171
420	124	171
421	125	171
422	125	170
423	125	170
424	125	170
425	126	169
426	126	169
427	126	169
428	126	168
429	127	168
430	127	168
431	127	168
432	128	167
433	128	167
434	128	166
435	128	166
436	129	166
437	129	166
438	129	165
439	129	165
440	130	164
441	130	164
442	130	164
443	130	163
444	131	163
445	131	163
446	131	162
447	131	162
448	132	162
449	132	161
450	132	161
451	132	161
452	133	160
453	133	160
454	133	160
455	134	159
456	134	159
457	134	159
458	134	159
459	135	158
460	135	158
461	135	158
462	136	157
463	136	157
464	136	157
465	136	156
466	137	156
467	137	156
468	137	155
469	137	155
470	138	155
471	138	154
472	138	154
473	138	154
474	139	153
475	139	153
476	139	153
477	139	152
478	140	152
479	140	152
480	140	151
481	141	151
482	141	151
483	141	151
484	142	151
485	143	151
486	143	150
487	143	150
488	143	150
489	144	150
490	144	149
491	144	149
492	144	149
493	145	148
494	145	148
495	145	147
496	145	147
497	146	147
498	146	146
499	146	146
500	146	146
501	147	145
502	147	145
503	147	145
504	147	144
505	148	144
506	148	144
507	148	143
508	148	143
509	149	143
510	149	143
511	149	142
512	149	142
513	150	142
514	150	141
515	150	141
516	151	141
517	151	140
518	151	140
519	151	140
520	152	139
521	152	139
522	152	139
523	152	138
524	153	138
525	153	138
526	153	137
527	153	137
528	154	137
529	154	136
530	154	136
531	155	136
532	155	136
533	155	135
534	155	135
535	156	135
536	156	134
537	156	134
538	156	134
539	157	133
540	157	133
541	157	133
542	157	132
543	158	132
544	158	132
545	158	131
546	159	131
547	159	131
548	159	131
549	159	130
550	160	130
551	160	130
552	160	129
553	161	129
554	161	129
555	161	128
556	161	128
557	162	128
558	162	128
559	162	127
560	162	127
561	163	127
562	163	126
563	163	126
564	164	126
565	164	126
566	164	125
567	164	125
568	165	125
569	165	124
570	165	124
571	166	124
572	166	123
573	166	123
574	166	123
575	167	123
576	167	122
577	167	122
578	167	122
579	168	121
580	168	121
581	168	121
582	168	120
583	169	120
584	169	120
585	169	119
586	169	119
587	170	119
588	170	118
589	170	118
590	170	118
591	171	118
592	171	117
593	171	117
594	171	117
595	172	116
596	172	116
597	172	116
598	173	115
599	173	115
600	173	115
601	173	114
602	174	114
603	174	114
604	174	113
605	174	113
606	175	113
607	175	113
608	175	112
609	175	112
610	176	112
611	176	111
612	176	111
613	176	111
614	177	110
615	177	110
616	177	110
617	177	109
618	178	109
619	178	109
620	178	109
621	179	108
622	179	108
623	179	108
624	179	107
625	180	107
626	180	107
627	180	107
628	180	106
629	181	106
630	181	106
631	181	105
632	182	105
633	182	105
634	182	104
635	182	104
636	183	104
637	183	104
638	183	103
639	184	103
640	184	103
641	184	103
642	185	102
643	185	102
644	185	102
645	185	101
646	186	101
647	186	101
648	186	100
649	186	100
650	187	100
651	187	100
652	187	99
653	188	99
654	188	99
655	188	98
656	188	98
657	189	98
658	189	97
659	189	97
660	189	97
661	190	97
662	190	96
663	190	96
664	191	96
665	191	95
666	191	95
667	191	95
668	192	95
669	192	94
670	192	94
671	192	94
672	193	93
673	193	93
674	193	93
675	194	93
676	194	92
677	194	92
678	195	92
679	195	91
680	195	91
681	195	91
682	196	91
683	196	90
684	196	90
685	197	90
686	197	89
687	197	89
688	197	89
689	198	89
